# id, team name, deleted bool, id, stadium name, capacity, location, playing surface, league, date opened, distance to center field, ballpark typology, Rooftype 
19,New York Yankees,0,66,Yankee Stadium,"47,422","Bronx, New York",Grass,American,2009,408 feet (124 m),Retro Classic,Open,5,1,0,Baseball Cap,22.99,2,0,Baseball bat,89.39,3,0,Team pennant,17.99,4,0,Autographed Baseball,25.99,5,0,Team Jersey,199.99
20,Oakland Athletics,0,52,Oakland-Alameda County Coliseum,"47,170","Oakland, California",Grass,American,1966,400 feet (122 m),Multipurpose,Open,5,1,0,Baseball Cap,22.99,2,0,Baseball bat,89.39,3,0,Team pennant,17.99,4,0,Autographed Baseball,25.99,5,0,Team Jersey,199.99
21,Philadelphia Phillies,0,67,Citizens Bank Park,"43,651","Philadelphia, Pennsylvania",Grass,National,2004,401 feet (122 m),Retro Classic,Open,5,1,0,Baseball Cap,22.99,2,0,Baseball bat,89.39,3,0,Team pennant,17.99,4,0,Autographed Baseball,25.99,5,0,Team Jersey,199.99
22,Pittsburgh Pirates,0,78,PNC Park,"38,362","Pittsburgh, Pennsylvania",Grass,National,2001,399 feet (122 m),Retro Classic,Open,5,1,0,Baseball Cap,22.99,2,0,Baseball bat,89.39,3,0,Team pennant,17.99,4,0,Autographed Baseball,25.99,5,0,Team Jersey,199.99
23,San Diego Padres,0,54,Petco Park,"40,209","San Diego, California",Grass,National,2004,396 feet (121 m),Retro Modern,Open,5,1,0,Baseball Cap,22.99,2,0,Baseball bat,89.39,3,0,Team pennant,17.99,4,0,Autographed Baseball,25.99,5,0,Team Jersey,199.99
24,San Francisco Giants,0,50,AT&T Park,"41,915","San Francisco, California",Grass,National,2000,399 feet (122 m),Retro Classic,Open,5,1,0,Baseball Cap,22.99,2,0,Baseball bat,89.39,3,0,Team pennant,17.99,4,0,Autographed Baseball,25.99,5,0,Team Jersey,199.99
25,Seattle Mariners,0,51,Safeco Field,"47,943","Seattle, Washington",Grass,American,1999,401 feet (122 m),Retro Modern,Retractable,5,1,0,Baseball Cap,22.99,2,0,Baseball bat,89.39,3,0,Team pennant,17.99,4,0,Autographed Baseball,25.99,5,0,Team Jersey,199.99
26,St. Louis Cardinals,0,76,Busch Stadium,"45,529","St. Louis, Missouri",Grass,National,2006,400 feet (122 m),Retro Classic,Open,5,1,0,Baseball Cap,22.99,2,0,Baseball bat,89.39,3,0,Team pennant,17.99,4,0,Autographed Baseball,25.99,5,0,Team Jersey,199.99
27,Tampa Bay Rays,0,75,Tropicana Field,"31,042","St. Petersburg, Florida",AstroTurf GameDay Grass,American,1990,404 feet (123 m),Multipurpose,Fixed,5,1,0,Baseball Cap,22.99,2,0,Baseball bat,89.39,3,0,Team pennant,17.99,4,0,Autographed Baseball,25.99,5,0,Team Jersey,199.99
28,Texas Rangers,0,63,Globe Life Park in Arlington,"48,114","Arlington, Texas",Grass,American,1994,400 feet (122 m),Retro Classic,Open,5,1,0,Baseball Cap,22.99,2,0,Baseball bat,89.39,3,0,Team pennant,17.99,4,0,Autographed Baseball,25.99,5,0,Team Jersey,199.99
29,Toronto Blue Jays,0,71,Rogers Centre,"49,282","Toronto, Ontario",AstroTurf GameDay Grass,American,1989,400 feet (122 m),Multipurpose,Retractable,5,1,0,Baseball Cap,22.99,2,0,Baseball bat,89.39,3,0,Team pennant,17.99,4,0,Autographed Baseball,25.99,5,0,Team Jersey,199.99
30,Washington Nationals,0,77,Nationals Park,"41,339","Washington, D.C.",Grass,National,2008,402 feet (123 m),Retro Modern,Open,5,1,0,Baseball Cap,22.99,2,0,Baseball bat,89.39,3,0,Team pennant,17.99,4,0,Autographed Baseball,25.99,5,0,Team Jersey,199.99
